loan_grade,burden_group,loan_status
A,low_burden,0.03767798466593647
A,medium_burden,0.050782322261872084
A,high_burden,0.278816199376947
B,low_burden,0.07489106753812637
B,medium_burden,0.08151687070767394
B,high_burden,0.3364458710242194
C,low_burden,0.11211340206185567
C,medium_burden,0.13655965500718736
C,high_burden,0.3885350318471338
D,low_burden,0.5161290322580645
D,medium_burden,0.551219512195122
D,high_burden,0.67712045616536
E,low_burden,0.5948275862068966
E,medium_burden,0.5728155339805825
E,high_burden,0.723404255319149
F,low_burden,0.603448275862069
F,medium_burden,0.6607142857142857
F,high_burden,0.7716535433070866
G,low_burden,0.9285714285714286
G,medium_burden,1.0
G,high_burden,1.0
